id	sentence_number	sentence_text
1	54	"Researchers at Lund University play a prominent part in sustainability-
related local, re-  

gional, national and global arenas by compiling knowledge, drawing up research
agendas,  
and as experts."
1	55	"Dynamic and integrating arenas for external engagement with public
authorities, the busi-  
ness sector and civil society are used to jointly contribute to sustainable
development."
1	56	"Lund University provides resources for academic capacity development in
developing  

countries through partnerships and student and teaching staff exchanges.  

2.5  

A sustainable organisation  

Lund Universitys operations strive to constantly improve their sustainability
management and  
show in concrete terms that sustainable development works in practice."
1	57	"The
work and study envi-  
ronment is inclusive, enriching, stimulating, safe and secure."
1	58	"The
international environment that  
characterises Lund University contributes to promoting, spreading and
deepening a positive under-  
standing of other cultures, ideologies and frames of reference for human
behaviour."
1	59	"Visions for the organisation:  

 Lund University maintains a good, safe, secure and accessible work
environment in all respects."
1	60	"Lund University is a resource-efficient organisation, with a minimised
climate and environmental  

impact."
1	61	"Activities at Lund University are based on gender equality, equal
opportunities and diversity  

and use the strengths that this entails."
1	62	"Lund University works for the integration of new arrivals in Sweden and
their entry into  

working life, including academics."
1	63	"3\. Implementation and follow up  

The strategy for sustainable development affects, and sets requirements for,
all parts of Lund Univer-  
sity."
1	64	"Faculties and other organisations within the University develop their
specific strategies as well  
as plan and run their operations based on the strategy for sustainable
development."
1	65	"Faculties and  
equivalent organisations draw up their own action plans that outline division
of responsibilities, roles  
and resources in order to realise the visions in the strategy as well as how
these plans are to be fol-  
lowed up, evaluated and, if required, revised."
1	66	"As the focus, conditions and
organisation of work on  
sustainable development management varies between the Universitys different
units, these deter-  
mine how the work to achieve Lund Universitys shared vision and goals is to
be conducted and fol-  
lowed up."
1	67	"Overall reporting, with associated evaluations of how the strategy
is being implemented, is  
carried out annually within the framework of the annual report processes at
faculty level and for  
Lund University as a whole."
1	68	"Managers and management groups at all levels are responsible for considering
matters  

relating to sustainable development in decision, implementation and follow up
processes."
1	69	"All employees are responsible for their work contributing to the realisation
of the strategys inten-  

tions."
1	70	Page: 1, 2, 3, 4
2	1	Your browser has javascript turned off or blocked.
2	2	"This will lead to some
parts of our website to not work properly or at all."
2	3	"Turn on javascript for
best performance."
2	4	The browser you are using is not supported by this website.
2	5	"All versions of
Internet Explorer are no longer supported, either by us or Microsoft (read
more here: <https://www.microsoft.com/en-us/microsoft-365/windows/end-of-ie-
support>)."
2	6	"Please use a modern browser to fully experience our website, such as the
newest versions of Edge, Chrome, Firefox or Safari etc.

#  Sustainability

One of the most sustainable universities in the world

[ __"
2	7	"P svenska](https://www.lu.se/om-universitetet/vision-mal-och-
strategier/hallbarhet)

!"
2	8	[Children on meadow in Vintrie.
2	9	"Photo: Patrik
Hekkala.](/sites/www.lunduniversity.lu.se/files/styles/lu_original_ratio_full_width_desktop/public/2022-06/vintrie_1_3000x1500.jpg.webp?itok=lCx_AJT8)"
2	10	"Ranked 8th in the world in the QS Sustainability Rankings 2024, Lund
University is a global leader in sustainability in higher education."
2	11	"This
encourages us to continue leading the way towards a sustainable society in our
research, education and everyday life."
2	12	"##  Lund University climbs in global ranking, wins sustainability award

14 June 2024 | Lund University has risen to 75th place in the prestigious QS annual ranking."
2	13	In addition, the University has been awarded the QS Sustainability Champions Award.
2	14	"[Read the full news article](/article/lund-university-climbs-global-ranking-
wins-sustainability-award)

Sustainability is a complex area that requires interdisciplinary research,
education and external engagement."
2	15	"The University offers a range of courses
and programmes, and is part of networks and collaborations linked to the
sustainability goals outlined in the 2030 Agenda."
2	16	"[Lund University ranks in top 10 in global sustainability ranking (5 December
2023)](/article/lund-university-ranks-top-10-global-sustainability-ranking)"
2	17	"[Global goals for sustainable development 
globalgoals.org](https://www.globalgoals.org/)

## Education

Our courses and programmes offer students diverse perspectives on sustainable
development across a range of disciplines."
2	18	"From Bachelor's to Master's and
doctoral levels, as well as through professional development, students gain a
deep understanding of sustainability."
2	19	"This knowledge becomes the foundation of
their careers, enabling them to pioneer solutions for a sustainable future."
2	20	"We offer the following programmes and courses in the area of sustainability:

##  All sustainability-related education at Bachelor's and Master's level ____"
2	21	"While sustainability is embedded in the curriculum of all our courses, many of
our courses and degree programmes have a more specific focus."
2	22	"The following
page provides an overview of courses and degree programmes related to
environmental or social sustainability."
2	23	"[Sustainability education at Lund University](/about-university/university-
glance/mission-vision-and-values/sustainability/sustainability-education-lund-
university)

###  International Master's programmes in environmental sustainability ____"
2	24	"We offer three international Master's programmes in the field of environment
and sustainability."
2	25	"There are also several Master's programmes in other
subject areas with a strong sustainability focus."
2	26	"[Master's programmes in environment and sustainability](/admissions/bachelors-
and-masters-studies/subject-areas/environment-and-sustainability)

Bachelor's programmes in this field are currently only available in Swedish."
2	27	##  MOOCs ____
2	28	We offer several specialised MOOCs in the field of sustainability.
2	29	"[MOOCs](/admissions/distance-learning/moocs)

###  Capacity building programmes (professional education) ____

Lund University Commissioned Education currently offers the following courses
in and related to sustainable development:"
2	30	"[Innovation, transformation and resilience for sustainable
development](/admissions/professional-education/capacity-building-
programmes/innovation-transformation-and-resilience-sustainable-development)"
2	31	"[Innovation in the Public Sector](/admissions/professional-education/capacity-
building-programmes/innovation-public-sector)

###  Postgraduate schools ____"
2	32	We have four postgraduate schools with a focus on sustainability.
2	33	"[Postgraduate schools](/research-and-innovation/postgraduate-research-schools)

## Research

We are constantly generating new scientific knowledge that challenges and
deepens our understanding of sustainable development."
2	34	"Interdisciplinary,
problem-oriented and curiosity-driven research is needed to strengthen the
necessary knowledge base and solve current and future sustainability
challenges."
2	35	"[Sustainable planet  research that addresses environmental and sustainability
challenges](/research-and-innovation/research-excellence-areas/sustainable-
planet)"
2	36	"[Discover how our research contributes to the UN Sustainable Development Goals
2030](https://www.lunduniversity.lu.se/research-and-innovation/find-research-
and-researchers/#SDG)

## Cross-border external engagement

Promoting sustainable development is an explicit goal in our interactions with
businesses, the public sector and other organisations."
2	37	"We are therefore
actively working to create new collective meeting places and to strengthen
existing initiatives between academia and society in this field."
2	38	"Interested in collaborating with us or finding out more about our approach to
sustainability?"
2	39	"Contact our Sustainability Forum, which is responsible for
coordinating sustainability issues at the University, via contact [at]
sustainability [dot] lu"
2	40	[dot] se (contact[at]sustainability[dot]lu[dot]se).
2	41	"## Sustainability at the University

##  Contact information

**Per Mickwitz**  
Pro vice-chancellor for research, sustainability and campus development  
per [dot] mickwitz"
2	42	[at] rektor
2	43	[dot] lu
2	44	"[dot] se
(per[dot]mickwitz[at]rektor[dot]lu[dot]se)  
Telephone:"
2	45	"[+46 (0)46 222 38 80](tel:+46462223880)

**Claes Niln**  
Environmental manager  
claes"
2	46	[dot] nilen
2	47	[at] bygg [dot] lu
2	48	"[dot] se
(claes[dot]nilen[at]bygg[dot]lu[dot]se)"
2	49	Telephone:
2	50	"[+46 (0)46 222 41 59](tel:+46462224159)

**Ann kerman**  
Coordinator at Lund University Sustainability Forum  
ann [dot] akerman"
2	51	[at] lucsus
2	52	[dot] lu
2	53	"[dot] se
(ann[dot]akerman[at]lucsus[dot]lu[dot]se)  
Telephone: [+46 (0)46 222 80 81](tel:+46462228081)"
2	54	"* * *

**Sustainability Forum**  
contact@sustainability"
2	55	[at] lu
2	56	"[dot] se
(contact[at]sustainability[at]lu[dot]se)

  *"
2	57	"[Subscribe to our newsletter](https://app.bwz.se/lundsuniversitet/cec/b/v?subscribeto=6&ucrc=B1FD8AB9)
  *"
2	58	"[Sustainability Forum on Facebook](https://www.facebook.com/sustainabilityforum/)
  *"
2	59	"[Sustainability Forum on X (formerly Twitter)](https://twitter.com/sustforum_Lu)

We want to make it easy for our students and staff to make sustainable choices
during their time here."
2	60	"That is why we strive to continuously develop the way
we work with social, economic and environmental sustainability in our daily
lives."
2	61	"[Sustainable student life](/current-students/get-involved-student-
life/sustainable-student-life)"
2	62	"We also work continuously and systematically according to policies and plans
to provide a good, safe and accessible place to work and study."
2	63	"At the same
time, we strive to be a resource-efficient organisation with minimal impact on
the climate and the environment."
2	64	"[Lund University's Strategy for Sustainable Development (PDF 265 kB, new
tab)](/sites/www.lunduniversity.lu.se/files/2024-03/strategy-sustainable-
development-lund-university-2019-2026.pdf)

[Sustainability Plan for Lund University 20202026 (PDF 3.8 MB, new
tab)](/sites/www.lunduniversity.lu.se/files/2024-03/sustainability-plan-lund-
university-2020-2026.pdf)

## [ Upcoming events __](https://www.lu.se/calendar?category=7958)

Lectures, stand-up comedy and more on sustainability in the events calendar at
lu.se (in Swedish  events in English and/or Swedish)"
2	65	"* * *

## Latest news in sustainability

!"
2	66	[Pink flowers in front of the Main University Building.
2	67	"Photo: Kennet
Ruona.](/sites/www.lunduniversity.lu.se/files/styles/lu_article_small_desktop/public/2024-05/main-
uni-building-pink-flowers-top.jpg.webp?itok=NHj7tNe0)

### [ Lund University climbs in global ranking, wins sustainability award
__]"
2	68	"(/article/lund-university-climbs-global-ranking-wins-sustainability-award)

Lund University has risen to 75th place in the prestigious QS annual ranking."
2	69	"This is an improvement of ten spots on the previous year, placing Lund as the
top ranked comprehensive...

!"
2	70	"[Conference participants in group
photo](/sites/www.lunduniversity.lu.se/files/styles/lu_article_small_desktop/public/2024-05/Kritzberg%20luse%20final.jpg.webp.jpeg.webp?itok=zUya3yI5)

### [ Conferences make scientists climate transgressors
__]"
2	71	(/article/conferences-make-scientists-climate-transgressors)
2	72	"Climate researchers often emphasise the fact that reducing carbon emissions is
in everyones best interest, and should involve all of us."
2	73	"But how good are
they at minimising their ...

!"
2	74	"[Lund researchers Thomas Pugh and Raimund Muscheler have been awarded the ERC
Advanced Grant."
2	75	"Photo: Private/Kenneth
Ruona](/sites/www.lunduniversity.lu.se/files/styles/lu_article_small_desktop/public/2024-04/thomas-
raimund-958px.jpg.webp?itok=g78F_dat)

### [ Two Lund researchers receive prestigious EU grant __]"
2	76	"(/article/two-lund-
researchers-receive-prestigious-eu-grant)

Quaternary geologist Raimund Muscheler and physical geographer Thomas Pugh
have been awarded the ERC Advanced Grant by the European Research Council."
2	77	"They will receive EUR 2.5 mill...

[ More news about Sustainability __](/category/sustainability)

Page manager: editors [at] kommunikation"
2	78	[dot] lu
2	79	"[dot] se | 12 Aug 2024 

__"
2	80	"Back to top

  *[MOOCs]: Massive Open Online Courses"
